Name;second_name;first_uri;Second_uri
Allplan;;https://dbpedia.org/page/Building_information_modeling;
Dlubal RFEM;;https://dbpedia.org/page/RFEM;
Matlab;;http://dbpedia.org/resource/MATLAB;
Bladed;;https://dbpedia.org/page/Computer-aided_engineering;https://dbpedia.org/page/Wind_energy_software
Catalog Creator;;https://dbpedia.org/page/Information_system;
Windographer;;https://dbpedia.org/page/Measurement;https://dbpedia.org/page/Wind_energy_software
Straus;;;
FE-UX Weldfat;;https://dbpedia.org/page/Evaluation;https://dbpedia.org/page/Welding
Meteodyn WT;;http://dbpedia.org/resource/Meteodyn_WT;
Spatial Manager for AutoCAD;;https://dbpedia.org/page/Spatial_file_manager;https://dbpedia.org/page/AutoCAD
NX Nastran / Simcenter;;https://dbpedia.org/page/Simcenter_Amesim;https://dbpedia.org/page/Computer_simulation
DIgSILENT PowerFactory;;https://dbpedia.org/page/Power_engineering_software;
Autodesk AutoCAD LT;;https://dbpedia.org/page/AutoCAD;https://dbpedia.org/page/Computer-aided_design
Cinema 4D;;https://dbpedia.org/page/Cinema_4D;
Mathcad;;https://dbpedia.org/page/Mathcad;
Franson CoordTrans;;https://dbpedia.org/page/Data_conversion;https://en.wikipedia.org/wiki/Geographic_coordinate_system
Femap;;https://dbpedia.org/page/Femap;
Overland Conveyor;;https://dbpedia.org/page/Conveyor_system;
GE Fanuc CIMPLICITY;;https://dbpedia.org/page/Automation;https://dbpedia.org/page/Evaluation
SketchUp Pro;;http://dbpedia.org/resource/SketchUp;https://dbpedia.org/page/Computer-aided_design
Arbortext IsoDraw;;https://dbpedia.org/page/Computer-aided_design;https://dbpedia.org/page/Data_conversion
Solidworks;;https://dbpedia.org/page/SolidWorks;https://dbpedia.org/page/Computer-aided_design
Automation Studio;;http://dbpedia.org/resource/Automation_Studio;https://dbpedia.org/page/Computer-aided_design
Autodesk Autocad Mechanical;;https://dbpedia.org/page/AutoCAD;https://dbpedia.org/page/Computer-aided_manufacturing
AdFer;;;
VisMockUp;;https://dbpedia.org/page/Digital_mockup;
AMESIM;;https://dbpedia.org/page/Simcenter_Amesim;
Kubotek KeyCreator;;https://dbpedia.org/page/KeyCreator;
Autodesk Simulation Mechanical;;http://dbpedia.org/resource/Autodesk_Simulation;https://dbpedia.org/page/Computer-aided_manufacturing
RISA-3D;;https://dbpedia.org/page/Structural_analysis;
Rhino;;https://dbpedia.org/page/Rhinoceros_3D;
KISSsoft;;https://dbpedia.org/page/Software_calculator;https://dbpedia.org/page/Computer-aided_design
Schema CMS;;https://dbpedia.org/page/Content_management_system;
APIS IQ FMEA;;https://dbpedia.org/page/Failure_mode_and_effects_analysis;
Autodesk AEC collection;;https://dbpedia.org/page/Autodesk_Revit;
Patsnap Patent Management;;https://dbpedia.org/page/Intellectual_property;
SCIA Concrete Section (BIM);;https://dbpedia.org/page/Building_information_modeling;
OROS NVGate Spectrum Analyzer;;;
ANSYS;;https://dbpedia.org/page/Ansys;
Siemens Plant Simulation;;https://dbpedia.org/page/Plant_Simulation;
Autodesk BIM 360;;https://dbpedia.org/page/Building_information_modeling;https://dbpedia.org/page/Autodesk_Revit
Moment of Inspiration 3D;;https://dbpedia.org/page/3D_computer_graphics#Software;
See / IGE XAO;;https://dbpedia.org/page/Computer-aided_engineering;
TIA Portal / Step 7;;https://dbpedia.org/page/Programmable_logic_controller;
Windows Control Center (WinCC);;https://dbpedia.org/page/WinCC;
Opera Software;;http://dbpedia.org/resource/Opera_(company);
Altium Designer;;http://dbpedia.org/resource/Altium_Designer;
PromisE;;https://dbpedia.org/page/Electrical_system_design;
Global Mapper;;http://dbpedia.org/resource/Global_Mapper;
LabVIEW NXG;;http://dbpedia.org/resource/LabVIEW;
Alpi Caneco BT;;https://dbpedia.org/page/Power_engineering_software;
Workplace;;;
